Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Georgia','Rockdale County','Lung and Bronchus','2012-2016','Male and Female','55.9','252','437652'
'Georgia','Evans County','Lung and Bronchus','2012-2016','Male and Female','52.3','35','53695'
'Georgia','Macon County','Lung and Bronchus','2012-2016','Male and Female','50.4','47','69367'
'Georgia','Meriwether County','Lung and Bronchus','2012-2016','Male and Female','53.4','83','106057'
'Georgia','Fulton County','Lung and Bronchus','2012-2016','Male and Female','51.8','2288','4985595'
'Georgia','Butts County','Lung and Bronchus','2012-2016','Male and Female','81.2','117','117131'
'Georgia','Bleckley County','Lung and Bronchus','2012-2016','Male and Female','70.0','56','63955'
'Georgia','Candler County','Lung and Bronchus','2012-2016','Male and Female','72.9','54','54783'
'Georgia','Coffee County','Lung and Bronchus','2012-2016','Male and Female','73.4','171','215406'
'Georgia','Crisp County','Lung and Bronchus','2012-2016','Male and Female','72.8','110','115887'
